event_code	cond_code	focus_modality	event_type	attention_status	task_role	condition
1	1	auditory	n/a	n/a	n/a	n/a
1	2	visual	n/a	n/a	n/a	n/a
1	3	auditory	n/a	n/a	n/a	n/a
2	1	auditory	n/a	n/a	n/a	n/a
2	2	visual	n/a	n/a	n/a	n/a
2	3	visual	n/a	n/a	n/a	n/a
3	1	auditory	n/a	n/a	n/a	n/a
3	2	visual	n/a	n/a	n/a	n/a
4	1	auditory	n/a	n/a	n/a	n/a
4	2	visual	n/a	n/a	n/a	n/a
5	1	auditory	n/a	n/a	n/a	n/a
5	2	visual	n/a	n/a	n/a	n/a
6	1	auditory	n/a	n/a	n/a	n/a
6	2	visual	n/a	n/a	n/a	n/a
7	3	auditory	n/a	n/a	n/a	n/a
8	3	visual	n/a	n/a	n/a	n/a
9	3	visual	n/a	n/a	n/a	n/a
10	3	auditory	n/a	n/a	n/a	n/a
11	3	auditory	n/a	n/a	n/a	n/a
12	3	visual	n/a	n/a	n/a	n/a
13	3	visual	n/a	n/a	n/a	n/a
14	3	auditory	n/a	n/a	n/a	n/a
201	1	auditory	n/a	n/a	n/a	n/a
201	2	visual	n/a	n/a	n/a	n/a
201	3	auditory	n/a	n/a	n/a	n/a
201	3	visual	n/a	n/a	n/a	n/a
202	1	auditory	n/a	n/a	n/a	n/a
202	2	visual	n/a	n/a	n/a	n/a
202	3	auditory	n/a	n/a	n/a	n/a
202	3	n/a	n/a	n/a	n/a	n/a
202	3	visual	n/a	n/a	n/a	n/a
255	2	visual	n/a	n/a	n/a	n/a
