name	x	y	z
Fp1	0.950000	0.309000	-0.035000
AF7	0.809000	0.587000	-0.035000
AF3	0.871000	0.406000	0.276000
F1	0.710000	0.287000	0.643000
F3	0.673000	0.545000	0.500000
F5	0.634000	0.729000	0.259000
F7	0.587000	0.809000	-0.035000
FT7	0.309000	0.950000	-0.035000
FC5	0.341000	0.888000	0.309000
FC3	0.360000	0.676000	0.643000
FC1	0.375000	0.375000	0.848000
C1	0.000000	0.391000	0.921000
C3	0.000000	0.719000	0.695000
C5	0.000000	0.934000	0.358000
T7	0.000000	0.999000	-0.035000
TP7	-0.309000	0.950000	-0.035000
CP5	-0.341000	0.888000	0.309000
CP3	-0.360000	0.676000	0.643000
CP1	-0.375000	0.375000	0.848000
P1	-0.710000	0.287000	0.643000
P3	-0.673000	0.545000	0.500000
P5	-0.634000	0.729000	0.259000
P7	-0.587000	0.809000	-0.035000
P9	-0.533000	0.733000	-0.423000
PO7	-0.809000	0.587000	-0.035000
PO3	-0.871000	0.406000	0.276000
O1	-0.950000	0.309000	-0.035000
Iz	-0.906000	-0.000000	-0.423000
Oz	-0.999000	-0.000000	-0.035000
POz	-0.934000	-0.000000	0.358000
Pz	-0.719000	-0.000000	0.695000
CPz	-0.391000	-0.000000	0.921000
Fpz	0.999000	-0.000000	-0.035000
Fp2	0.950000	-0.309000	-0.035000
AF8	0.809000	-0.587000	-0.035000
AF4	0.871000	-0.406000	0.276000
AFz	0.934000	-0.000000	0.358000
Fz	0.719000	-0.000000	0.695000
F2	0.710000	-0.287000	0.643000
F4	0.673000	-0.545000	0.500000
F6	0.634000	-0.729000	0.259000
F8	0.587000	-0.809000	-0.035000
FT8	0.309000	-0.950000	-0.035000
FC6	0.341000	-0.888000	0.309000
FC4	0.360000	-0.676000	0.643000
FC2	0.375000	-0.375000	0.848000
FCz	0.391000	-0.000000	0.921000
Cz	0.000000	0.000000	1.000000
C2	0.000000	-0.391000	0.921000
C4	0.000000	-0.719000	0.695000
C6	0.000000	-0.934000	0.358000
T8	0.000000	-0.999000	-0.035000
TP8	-0.309000	-0.950000	-0.035000
CP6	-0.341000	-0.888000	0.309000
CP4	-0.360000	-0.676000	0.643000
CP2	-0.375000	-0.375000	0.848000
P2	-0.710000	-0.287000	0.643000
P4	-0.673000	-0.545000	0.500000
P6	-0.634000	-0.729000	0.259000
P8	-0.587000	-0.809000	-0.035000
P10	-0.533000	-0.733000	-0.423000
PO8	-0.809000	-0.587000	-0.035000
PO4	-0.871000	-0.406000	0.276000
O2	-0.950000	-0.309000	-0.035000
LHEOG	n/a	n/a	n/a
RHEOG	n/a	n/a	n/a
UVEOG	n/a	n/a	n/a
LVEOG	n/a	n/a	n/a
LMAST	n/a	n/a	n/a
RMAST	n/a	n/a	n/a
LN	n/a	n/a	n/a
ANG	n/a	n/a	n/a
SP	n/a	n/a	n/a
SD	n/a	n/a	n/a
