onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.01	1.6667000000000003	control	1.6667000000000003	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.0183	1.1883000000000017	control	1.1883000000000017	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
20.0265	1.2719000000000025	control	1.2719000000000025	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
25.0347	1.8336000000000008	control	1.8336000000000008	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
30.043	3.498100000000001	control	3.498100000000001	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0512	2.288800000000002	control	2.288800000000002	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
40.0594	1.667500000000004	emotion	1.667500000000004	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0677	1.5800999999999945	emotion	1.5800999999999945	left	incorrect	n/a	male	black	black	black	anger
50.0759	1.9557	emotion	1.9557	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0841	1.534399999999998	emotion	1.534399999999998	right	incorrect	n/a	male	black	black	black	fear
60.0924	3.8489	emotion	3.8489	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1006	2.8596000000000004	emotion	2.8596000000000004	right	correct	n/a	female	asian	black	asian	fear
70.1088	1.955299999999994	control	1.955299999999994	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
75.1171	1.1109000000000009	control	1.1109000000000009	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
80.1253	0.9056000000000068	control	0.9056000000000068	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
85.1335	1.004199999999997	control	1.004199999999997	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
90.1418	1.7617999999999938	control	1.7617999999999938	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
95.15	1.399499999999989	control	1.399499999999989	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1582	1.9491000000000007	emotion	1.9491000000000007	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1665	2.3867000000000047	emotion	2.3867000000000047	right	incorrect	n/a	male	black	black	black	anger
110.1747	2.684299999999993	emotion	2.684299999999993	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1829	2.846999999999994	emotion	2.846999999999994	left	incorrect	n/a	male	black	black	black	fear
120.1912	2.437600000000004	emotion	2.437600000000004	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.1994	3.7032000000000096	emotion	3.7032000000000096	right	incorrect	n/a	female	asian	black	asian	anger
130.2076	1.6078999999999724	control	1.6078999999999724	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
135.2159	1.1984999999999957	control	1.1984999999999957	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2241	1.2101000000000113	control	1.2101000000000113	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
145.2323	2.3737999999999886	control	2.3737999999999886	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
150.2405	1.3704999999999927	control	1.3704999999999927	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.2488	1.0841000000000065	control	1.0841000000000065	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.257	2.787700000000001	emotion	2.787700000000001	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2652	1.697400000000016	emotion	1.697400000000016	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2735	1.6999999999999886	emotion	1.6999999999999886	left	incorrect	n/a	male	black	black	black	anger
175.2817	3.3115999999999985	emotion	3.3115999999999985	left	correct	n/a	female	black	asian	asian	anger
180.2899	1.8993000000000109	emotion	1.8993000000000109	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.2982	1.5878999999999903	emotion	1.5878999999999903	left	incorrect	n/a	female	asian	asian	black	fear
190.3064	2.141500000000008	control	2.141500000000008	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
195.3146	1.7061999999999955	control	1.7061999999999955	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
200.3229	1.0157999999999845	control	1.0157999999999845	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
205.3311	1.526399999999995	control	1.526399999999995	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
210.3393	0.8520999999999788	control	0.8520999999999788	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
215.3476	1.1337000000000046	control	1.1337000000000046	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
220.3558	2.385400000000004	emotion	2.385400000000004	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.364	1.8149999999999973	emotion	1.8149999999999973	right	incorrect	n/a	female	black	asian	asian	fear
230.3723	1.9545999999999992	emotion	1.9545999999999992	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3805	1.9262999999999977	emotion	1.9262999999999977	right	incorrect	n/a	male	black	black	black	fear
240.3887	2.6219000000000108	emotion	2.6219000000000108	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.397	1.5575000000000043	emotion	1.5575000000000043	left	incorrect	n/a	female	asian	asian	black	anger
