onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0417	6	active_change	correct	1.921899999999999	right
20.0582	6	active_change	correct	1.6791000000000018	right
26.0664	6	active_nochange	correct	1.2166999999999994	left
36.0828	6	passive	n/a	1.5701000000000036	right
42.0911	6	active_change	correct	1.9116	right
52.1075	6	active_nochange	correct	1.4819999999999993	left
60.123999999999995	6	active_change	correct	1.985200000000006	right
66.1322	6	active_nochange	correct	1.2288999999999959	left
72.1405	6	active_change	incorrect	1.689399999999992	left
78.1487	6	active_change	incorrect	1.6610999999999905	left
86.1652	6	active_nochange	correct	1.5814000000000021	left
92.1734	6	active_nochange	correct	1.2169999999999987	left
100.1899	6	active_nochange	incorrect	2.0482000000000085	right
106.1981	6	passive	n/a	1.8248999999999995	left
112.2063	6	active_change	incorrect	1.161600000000007	left
118.2145	6	active_nochange	correct	1.2661999999999978	left
126.231	6	passive	n/a	1.6225000000000023	right
134.2475	6	active_nochange	correct	1.3008000000000095	left
140.2558	6	active_nochange	incorrect	1.5313000000000159	right
150.2722	6	active_nochange	correct	1.2187000000000126	left
156.2804	6	passive	n/a	1.8563000000000045	right
162.2887	6	passive	n/a	1.6199000000000012	right
172.3051	6	active_change	incorrect	1.3781999999999925	left
180.3216	6	active_change	correct	1.4695000000000107	right
188.3381	6	active_nochange	correct	1.8837000000000046	left
194.3463	6	active_change	correct	1.1133999999999844	right
204.3628	6	passive	n/a	0.4677000000000078	left
210.371	6	active_nochange	correct	1.3982999999999777	left
216.3792	6	active_change	incorrect	1.6799000000000035	left
222.3874	6	active_change	correct	1.4726	right
228.3957	6	active_nochange	correct	1.2420999999999935	left
238.4121	6	active_change	incorrect	1.338499999999982	left
244.4203	6	active_change	incorrect	1.501100000000008	left
252.4368	6	active_change	correct	1.6492999999999824	right
258.4451	6	active_change	correct	1.6598999999999933	right
264.4533	6	active_nochange	correct	1.299599999999998	left
272.4698	6	passive	n/a	2.0517999999999574	left
280.4863	6	passive	n/a	1.327199999999948	right
296.5026	6	active_nochange	incorrect	1.3274000000000115	right
302.5108	6	active_nochange	incorrect	1.579999999999984	right
